fecha,hora,modelo,operacion,tiempo,input,cached_input,output,coste
2026-07-19,09:12:06,gpt-5.4-mini,importar_test_imagen,1.82,2118,0,208,0.002524
2026-07-19,09:12:08,gpt-5.4-mini,importar_test_imagen,2.42,2272,0,310,0.003099
2026-07-19,09:12:10,gpt-5.4-mini,importar_test_imagen,1.81,2118,0,217,0.002565
2026-07-19,09:12:13,gpt-5.4-mini,importar_test_imagen,2.64,2272,0,277,0.002950
2026-07-19,09:12:15,gpt-5.4-mini,importar_test_imagen,2.07,2195,0,248,0.002762
2026-07-19,09:12:20,gpt-5.4-mini,importar_test_imagen,4.68,2502,0,343,0.003420
2026-07-19,09:12:23,gpt-5.4-mini,importar_test_imagen,2.68,2579,0,348,0.003500
2026-07-19,09:12:25,gpt-5.4-mini,importar_test_imagen,2.01,2272,0,207,0.002635
2026-07-19,09:12:28,gpt-5.4-mini,importar_test_imagen,2.39,2195,0,248,0.002762
2026-07-19,09:12:30,gpt-5.4-mini,importar_test_imagen,2.02,2042,0,219,0.002517
2026-07-19,09:12:32,gpt-5.4-mini,importar_test_imagen,1.82,2195,0,190,0.002501
2026-07-19,09:12:34,gpt-5.4-mini,importar_test_imagen,2.08,2272,0,226,0.002721
2026-07-19,09:12:36,gpt-5.4-mini,importar_test_imagen,1.88,2349,0,209,0.002702
2026-07-19,09:12:39,gpt-5.4-mini,importar_test_imagen,2.13,2272,0,209,0.002645
2026-07-19,09:12:42,gpt-5.4-mini,importar_test_imagen,3.05,2579,0,359,0.003550
2026-07-19,09:12:45,gpt-5.4-mini,importar_test_imagen,2.38,2272,0,286,0.002991
2026-07-19,09:12:48,gpt-5.4-mini,importar_test_imagen,3.17,2349,0,317,0.003188
2026-07-19,09:12:52,gpt-5.4-mini,importar_test_imagen,4.08,2579,0,391,0.003694
2026-07-19,09:12:55,gpt-5.4-mini,importar_test_imagen,2.45,2349,0,295,0.003089
2026-07-19,09:13:03,gpt-5.4-mini,importar_test_imagen,8.35,2272,0,262,0.002883
2026-07-19,09:13:06,gpt-5.4-mini,importar_test_imagen,2.12,2118,0,216,0.002561
2026-07-19,09:13:09,gpt-5.4-mini,importar_test_imagen,3.08,2502,0,311,0.003276
2026-07-19,09:13:12,gpt-5.4-mini,importar_test_imagen,3.07,2502,0,350,0.003451
2026-07-19,09:13:15,gpt-5.4-mini,importar_test_imagen,2.57,2195,0,295,0.002974
2026-07-19,09:13:19,gpt-5.4-mini,importar_test_imagen,3.34,2502,0,410,0.003721
2026-07-19,09:13:22,gpt-5.4-mini,importar_test_imagen,1.99,2195,0,201,0.002551
2026-07-19,09:13:25,gpt-5.4-mini,importar_test_imagen,2.61,2272,0,244,0.002802
2026-07-19,09:13:27,gpt-5.4-mini,importar_test_imagen,1.88,2195,0,173,0.002425
2026-07-19,09:13:29,gpt-5.4-mini,importar_test_imagen,2.46,2195,0,193,0.002515
2026-07-19,09:13:33,gpt-5.4-mini,importar_test_imagen,2.69,2272,0,268,0.002910
2026-07-19,09:13:35,gpt-5.4-mini,importar_test_imagen,2.09,2118,0,201,0.002493
2026-07-19,09:13:38,gpt-5.4-mini,importar_test_imagen,2.80,2195,0,315,0.003064
2026-07-19,09:13:42,gpt-5.4-mini,importar_test_imagen,2.88,2272,0,333,0.003203
2026-07-19,09:13:45,gpt-5.4-mini,importar_test_imagen,2.50,2195,0,310,0.003041
2026-07-19,09:13:48,gpt-5.4-mini,importar_test_imagen,2.40,2272,0,277,0.002950
2026-07-19,09:13:53,gpt-5.4-mini,importar_test_imagen,4.29,2733,0,516,0.004372
2026-07-19,09:13:58,gpt-5.4-mini,importar_test_imagen,3.81,2426,0,322,0.003268
2026-07-19,09:14:00,gpt-5.4-mini,importar_test_imagen,1.77,2272,0,172,0.002478
2026-07-19,09:14:04,gpt-5.4-mini,importar_test_imagen,4.10,2502,0,397,0.003663
2026-07-19,09:14:07,gpt-5.4-mini,importar_test_imagen,1.98,2118,0,203,0.002502
2026-07-19,09:14:10,gpt-5.4-mini,importar_test_imagen,2.78,2426,0,216,0.002791
2026-07-19,09:14:12,gpt-5.4-mini,importar_test_imagen,2.63,2272,0,211,0.002654
2026-07-19,09:14:16,gpt-5.4-mini,importar_test_imagen,3.21,2195,0,254,0.002789
2026-07-19,09:14:19,gpt-5.4-mini,importar_test_imagen,3.26,2426,0,366,0.003466
2026-07-19,09:14:23,gpt-5.4-mini,importar_test_imagen,3.67,2426,0,372,0.003494
2026-07-19,09:14:26,gpt-5.4-mini,importar_test_imagen,2.77,2349,0,339,0.003287
2026-07-19,09:14:29,gpt-5.4-mini,importar_test_imagen,2.36,2349,0,256,0.002914
2026-07-19,09:14:31,gpt-5.4-mini,importar_test_imagen,2.17,2195,0,261,0.002821
2026-07-19,09:14:35,gpt-5.4-mini,importar_test_imagen,3.61,2272,0,214,0.002667
2026-07-19,09:14:39,gpt-5.4-mini,importar_test_imagen,3.61,2656,0,409,0.003832
2026-07-19,09:14:41,gpt-5.4-mini,importar_test_imagen,2.02,2118,0,213,0.002547
2026-07-19,09:14:45,gpt-5.4-mini,importar_test_imagen,3.57,2195,0,308,0.003032
2026-07-19,09:14:48,gpt-5.4-mini,importar_test_imagen,2.39,2502,0,254,0.003019
